Task No,Deskripsi Tugas,Penanggung Jawab,Target ,Porgres,Status 
1,Manajemen & Perencanaan Proyek,,,,
1.1,Kick-off Meeting & Finalisasi Kebutuhan,Project Manager & System Analyst (Rizka),15 September 2025,100%,Selesai
1.2,Penetapan Jadwal & Timeline Proyek,Project Manager & System Analyst (Rizka),16 September 2025,100%,Selesai
1.3,Laporan Progres Mingguan,Project Manager & System Analyst (Rizka),24 September 2025,100%,Selesai
2,Desain & Arsitektur,,,,
2.1,Desain Alur Pengguna (User Flow),"Front-end & UI/UX Developer (Nisa, Jingga)",1 Oktober 2025,100%,Selesai
2.2,Desain Wireframe & Mockup (menggunakan Figma),"Front-end & UI/UX Developer (Nisa, Jingga)",7 Oktober 2025,100%,Selesai
2.3,Finalisasi Desain Database (ERD),Project Manager & System Analyst (Rizka),14 Oktober 2025,100%,Selesai
2.4,Penyiapan Proyek di Firebase (Firestore & Auth),Back-end & Database Developer (Fikri),21 Oktober 2025,100%,Selesai
3,Pengembangan Fitur (Build),,,,
3.1,Modul Autentikasi & Pengguna,,,,
3.1.1,Back-end: API untuk Login & Manajemen User (CRUD),Back-end & Database Developer (Fikri),28 Oktober 2025,100%,Selesai
3.1.2,Front-end: Halaman Login,"Front-end & UI/UX Developer (Nisa, Jingga)",4 November 2025,100%,Selesai
3.1.3,Front-end: Manajemen Akun Pengguna (untuk Admin),"Front-end & UI/UX Developer (Nisa, Jingga)",11 November 2025,100%,Selesai
"3,2",Modul Registrasi & Verifikasi Santri,,,,
3.2.1,Back-end: API Registrasi & Verifikasi Siswa,Back-end & Database Developer (Fikri),13 November 2025,100%,Selesai
3.2.2,Front-end: Halaman Form Registrasi Siswa,"Front-end & UI/UX Developer (Nisa, Jingga)",16 November 2025,100%,Selesai
3.2.3,Front-end: Halaman Verifikasi & Aktivasi Siswa,"Front-end & UI/UX Developer (Nisa, Jingga)",19 November 2025,100%,Selesai
"3,3",Modul Manajemen Kelas,,,,
3.3.1,Back-end: API untuk CRUD Data Kelas,Back-end & Database Developer (Fikri),20 November 2025,100%,Selesai
3.3.2,"Front-end: Halaman untuk Menambah, Melihat, Mengubah, Menghapus Kelas","Front-end & UI/UX Developer (Nisa, Jingga)",27 November 2025,100%,Selesai
"3,4",Modul Manajemen Jadwal,,,,
3.4.1,Back-end: API untuk CRUD Jadwal Pelajaran,Back-end & Database Developer (Fikri),30 November 2025,100%,Selesai
3.4.2,Front-end: Halaman untuk Mengelola Jadwal per Kelas,"Front-end & UI/UX Developer (Nisa, Jingga)",30 November 2025,100%,Selesai
"3,5",Modul Manajemen Absensi,,,,
3.5.1,Back-end: API untuk Mencatat Kehadiran Santri & Pengajar,Back-end & Database Developer (Fikri),3 Desember 2025,100%,Selesai
3.5.2,Front-end: Halaman untuk Mengisi Absensi Harian,"Front-end & UI/UX Developer (Nisa, Jingga)",10 Desember 2025,100%,Selesai
3.5.3,Front-end: Halaman Laporan (Report) Absensi,"Front-end & UI/UX Developer (Nisa, Jingga)",17 Desember 2025,100%,Selesai
4,Pengujian (Testing),,,,
4.1,Pembuatan Skenario Pengujian (Test Case),"Quality Assurance & Documentation (Nisa, Jingga)", 24 Desember 2025,,
4.2,Pengujian Fungsional per Fitur,"Quality Assurance & Documentation (Nisa, Jingga)", 24 Desember 2025,,
4.3,Pengujian Integrasi (UAT - User Acceptance Test),Semua Anggota Tim & Dosen, 25 Desember 2025,,
4.4,Pelaporan dan Perbaikan Bug,"QA (Jingga), Back-end (Fikri), Front-end (Nisa)", 30 Desember 2025,,
5,Deployment & Serah Terima,(Tim Gabungan),,,
5.1,Persiapan Lingkungan Produksi,Back-end & Database Developer (Fikri),3 Januari 2025,,
5.2,Deployment Aplikasi,Back-end & Database Developer (Fikri),4 Januari 2025,,
5.3,Finalisasi Dokumentasi Proyek,"Quality Assurance & Documentation (Nisa, Jingga)",5 Januari 2025,,
5.4,Serah Terima Proyek,Project Manager & System Analyst (Rizka),6 Januari 2025,,
